 ctrl.inp :: CARD A is being read...
    CTRL  READ COMPLETE..
    Continuous Energy Mode...
    Start reading ace-format nuclear data
           1 1001.711nc
           2 8016.711nc
    WARNING :: NYD block exists
           3 92235.711nc
           4 92238.711nc
    ACE Lib. READ COMPLETE...
 CE_mat.inp :: CARD D is being read...
    CE MAT READ COMPLETE...
    GEOM  READ COMPLETE..
 depletion.inp :: CARD E is being read...
    Setting ugrid...
    Initializing Source...
    Source Initializing Complete...
 
 
  > Num of Threads per Node          28
  > Num of MPI Nodes                  5
  > Num of Histories per Cycle  3000000
  > Skip Cycles:   50  /  Active Cycles:  400
 
  > Tally is OFF
  > m-PRUP is OFF
  > FMFD with CMFD is On
 
    Transport Simulation Starts...
     161    35.47 sec  12.22470  |  keff  1.50875   avg  1.50850   SD    3.848
     162    35.53 sec  12.22471  |  keff  1.50933   avg  1.50851   SD    3.883
     163    35.70 sec  12.22497  |  keff  1.50845   avg  1.50851   SD    3.849
     164    35.39 sec  12.22493  |  keff  1.50851   avg  1.50851   SD    3.816
     165    35.53 sec  12.22456  |  keff  1.50892   avg  1.50851   SD    3.799
     166    35.52 sec  12.22470  |  keff  1.50926   avg  1.50852   SD    3.821
     167    35.66 sec  12.22531  |  keff  1.50853   avg  1.50852   SD    3.789
     168    35.44 sec  12.22501  |  keff  1.50846   avg  1.50852   SD    3.757
     169    35.42 sec  12.22499  |  keff  1.50866   avg  1.50852   SD    3.727
     170    35.51 sec  12.22469  |  keff  1.50918   avg  1.50852   SD    3.736
     171    35.49 sec  12.22498  |  keff  1.50826   avg  1.50852   SD    3.712
     172    35.42 sec  12.22545  |  keff  1.50851   avg  1.50852   SD    3.682
     173    35.61 sec  12.22567  |  keff  1.50799   avg  1.50852   SD    3.677
     174    35.51 sec  12.22597  |  keff  1.50742   avg  1.50851   SD    3.751
     175    35.43 sec  12.22594  |  keff  1.50879   avg  1.50851   SD    3.728
     176    35.51 sec  12.22605  |  keff  1.50766   avg  1.50850   SD    3.759
     177    35.48 sec  12.22617  |  keff  1.50866   avg  1.50851   SD    3.731
     178    35.47 sec  12.22585  |  keff  1.50698   avg  1.50849   SD    3.888
     179    35.56 sec  12.22555  |  keff  1.50798   avg  1.50849   SD    3.878
     180    35.70 sec  12.22500  |  keff  1.50806   avg  1.50849   SD    3.863
     181    35.54 sec  12.22486  |  keff  1.50804   avg  1.50848   SD    3.848
     182    35.32 sec  12.22454  |  keff  1.50852   avg  1.50848   SD    3.819
     183    35.63 sec  12.22505  |  keff  1.50840   avg  1.50848   SD    3.791
     184    35.55 sec  12.22546  |  keff  1.50897   avg  1.50849   SD    3.780
     185    35.64 sec  12.22542  |  keff  1.50893   avg  1.50849   SD    3.767
     186    35.56 sec  12.22588  |  keff  1.50826   avg  1.50849   SD    3.743
     187    35.59 sec  12.22612  |  keff  1.50877   avg  1.50849   SD    3.721
     188    35.45 sec  12.22577  |  keff  1.50836   avg  1.50849   SD    3.695
     189    35.49 sec  12.22582  |  keff  1.50828   avg  1.50849   SD    3.672
     190    35.45 sec  12.22583  |  keff  1.50896   avg  1.50849   SD    3.661
     191    35.53 sec  12.22520  |  keff  1.50837   avg  1.50849   SD    3.636
     192    35.57 sec  12.22584  |  keff  1.50849   avg  1.50849   SD    3.610
     193    35.51 sec  12.22572  |  keff  1.50919   avg  1.50850   SD    3.618
     194    35.52 sec  12.22626  |  keff  1.50833   avg  1.50849   SD    3.594
